Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Nunapitsinghak Moravian Children's Home,,,"Kwethluk, Alaska",AK,1926,1973,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nuyaka School and Orphanage,"Nuyaka Boarding School, Nuyaka Mission School",,"Nuyaka, Oklahoma",OK,1882,1933,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Oahe Boarding School,"Oahe Industrial School, Oahe Indian Mission School",,"West Hughes, South Dakot",SD,1874,1914,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Oklahoma Presbyterian College for Girls,"Calvin Institute, Durant Presbyterian College",,"Durant, Oklahoma",OK,1894,1966,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Old Goodland Indian Orphanage,"Old Goodland Indian Orphanage, Goodland Academy and Indian Orphanage, Old Goodland Indian Orphan Industrial School, Old Goodland Boarding School",,"Hugo, Oklahoma",OK,1848,1931,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Omaha Indian School,"Omaha Boarding School, Omaha Industrial School",,"Macy, Nebraska",NE,1871,1906,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Omaha Mission Boarding,,,"Omaha, Nebraska",NE,1886,1891,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Oneida Boarding and Day School,,,"Oneida, Wisconsin",WI,1893,1918,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Osage Boarding School,,McCabe Boarding,"Pawhuska, Oklahoma",OK,1872,1922,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Osage Manual Labor School for Boys and Osage School for Girls,"Osage Catholic Mission and Schools, St. Francis Institute, St. Ann's Academy, St. Paul",,"St. Paul, Kansas",KS,1847,1870,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Otoe Boarding School,"Oto Boarding School, Otoe Missouria Indian Mission School",,"Red Rock, Oklahoma",OK,1880,1919,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Otoe Missouria Indian Mission School,,Otoe Boarding School,"Barneston, Nebraska",NE,1854,1881,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ouray Indian School,"Ouray Boarding School, Uncompahgre Boarding School",,"Randlett, Utah",UT,1885,1905,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pawnee Boarding and Training School,"Southern Utah (Panguitch) Boarding School, Orton, Panguitch Boarding",St. George Southern Utah Boarding School,"Panguitch, Utah",UT,1904,1909,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pecan Creek Mission School,Pecan Creek Boarding School,,"Muskogee, Oklahoma",OK,1898,1911,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Perris Indian School,,Sherman Institute,"Perris, California",CA,1891,1904,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
