Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
149,NA,348,Montana Superintendency ,Bloods,,,1866,2150,NA,NA,NA,NA,NA,NA,,NA,NA,,,
150,NA,348,Montana Superintendency ,Gros Ventres,,,1866,1500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
151,NA,348,Montana Superintendency ,Crows,,,1866,3900,NA,NA,NA,NA,NA,NA,,NA,NA,,,
152,352,348,Washington Superintendency ,Various Tribes,,,1866,14800,NA,NA,NA,NA,NA,NA,,NA,NA,,,
153,363,348,California Superintendency ,Round Valley,,,1866,1389,25000 (A),NA,NA,NA,NA,NA,,NA,NA,,,
154,363,348,California Superintendency ,Hoopa Valley,,,1866,623,60 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
155,363,348,California Superintendency ,Smith River,,,1866,625,1387 (A),NA,NA,NA,NA,NA,,NA,NA,,,
156,363,348,California Superintendency ,Tule River,,,1866,725,1280 (A),NA,NA,NA,NA,NA,,NA,NA,,,
157,363,348,California Superintendency ,Mission Indians,,,1866,3300,NA,NA,NA,NA,NA,NA,,NA,NA,,,
158,NA,348,California Superintendency ,Coahuilas and others,,,1866,4400,NA,NA,NA,NA,NA,NA,,NA,NA,,,
159,NA,348,California Superintendency ,King's River and others,,,1866,14900,NA,NA,NA,NA,NA,NA,,NA,NA,,,
160,363,348,Oregan Superintendency ,Umatilla Reserve,,,1866,759,800 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
161,363,348,Oregan Superintendency ,Warm Springs Reserve,,,1866,1070,NA,NA,NA,NA,NA,NA,,NA,NA,,,
162,363,349,Oregan Superintendency ,Grand Ronde Reserve,,,1866,1144,108 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
163,NA,349,Oregan Superintendency ,"Klamaths, Snakes, & C",,,1866,4000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
164,NA,349,Utah Superintendency ,Eastern Bannacks and Shoshones,,,1866,4500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
165,NA,349,Utah Superintendency ,Northwestern Shoshones,,,1866,1800,NA,NA,NA,NA,NA,NA,,NA,NA,,,
166,NA,349,Utah Superintendency ,Western Shoshones,,,1866,2000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
167,NA,349,Utah Superintendency ,Goship and Weber Utes,,,1866,1600,NA,NA,NA,NA,NA,NA,,NA,NA,,,
168,NA,349,Utah Superintendency ,Utahs,,,1866,7700,NA,NA,NA,NA,NA,NA,,NA,NA,,,
169,NA,349,Nevada Superintendency ,Bannacks ,,,1866,1500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
170,NA,349,Nevada Superintendency ,Showbones,,,1866,2000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
171,NA,349,Nevada Superintendency ,Pi-Utes,,,1866,4200,NA,NA,NA,NA,NA,NA,,NA,NA,,,
172,NA,349,Nevada Superintendency ,Washoes ,,,1866,500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
173,NA,349,Arizona Superintendency ,Papagos and others,,,1866,34500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
