STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
MO,44643614.482677914,1865,0,0,0,0
MO,44643614.482677914,1866,0,0,0,0
MO,44643614.482677914,1867,96909.97,0,96909.97,0
MO,44643614.482677914,1868,57338.429999999986,0,154248.4,0
MO,44643614.482677914,1869,13675.1,1974,167923.5,1974
MO,44643614.482677914,1870,0,13744,167923.5,15718
MO,44643614.482677914,1871,5355.41,65490,173278.91,81208
MO,44643614.482677914,1872,2792.24,66988,176071.15,148196
MO,44643614.482677914,1873,629.6,127329,176700.75,275525
MO,44643614.482677914,1874,1280,95005,177980.75,370530
MO,44643614.482677914,1875,2456.43,148568,180437.18,519098
MO,44643614.482677914,1876,640,128690,181077.18,647788
MO,44643614.482677914,1877,1047.6599999999999,135142,182124.84,782930
MO,44643614.482677914,1878,320.65,104944,182445.49,887874
MO,44643614.482677914,1879,640,47673,183085.49,935547
MO,44643614.482677914,1880,358.45,39503,183443.94,975050
MO,44643614.482677914,1881,400,25227,183843.94,1000277
MO,44643614.482677914,1882,1932.25,30523,185776.19,1030800
MO,44643614.482677914,1883,640,34857,186416.19,1065657
MO,44643614.482677914,1884,4880,36515,191296.19,1102172
MO,44643614.482677914,1885,1382.62,40794,192678.81,1142966
MO,44643614.482677914,1886,160,46630,192838.81,1189596
MO,44643614.482677914,1887,0,75022,192838.81,1264618
MO,44643614.482677914,1888,735.34,85329,193574.15,1349947
MO,44643614.482677914,1889,0,120352,193574.15,1470299
MO,44643614.482677914,1890,1524.28,167750,195098.43,1638049
MO,44643614.482677914,1891,1172.8899999999999,183735,196271.32,1821784
MO,44643614.482677914,1892,2293.2,143596,198564.52000000002,1965380
MO,44643614.482677914,1893,586.68,128183,199151.2,2093563
MO,44643614.482677914,1894,0,110304,199151.2,2203867
MO,44643614.482677914,1895,1704.21,98098,200855.41,2301965
MO,44643614.482677914,1896,405.08000000000004,99554,201260.49,2401519
MO,44643614.482677914,1897,724.12,96836,201984.61,2498355
MO,44643614.482677914,1898,0,106360,201984.61,2604715
MO,44643614.482677914,1899,320.22,104015,202304.83,2708730
MO,44643614.482677914,1900,1040.66,137343,203345.49,2846073
MO,44643614.482677914,1901,7130.84,113822,210476.33,2959895
MO,44643614.482677914,1902,840,102543,211316.33,3062438
MO,44643614.482677914,1903,305.78,103057,211622.11,3165495
MO,44643614.482677914,1904,400,78727,212022.11,3244222
MO,44643614.482677914,1905,2409.84,49279,214431.94999999998,3293501
MO,44643614.482677914,1906,358.44,48236,214790.38999999998,3341737
MO,44643614.482677914,1907,845.78,40679,215636.16999999998,3382416
MO,44643614.482677914,1908,1780.4300000100002,36146,217416.60000001,3418562
MO,44643614.482677914,1909,160,38406,217576.60000001,3456968
MO,44643614.482677914,1910,619.25,39881,218195.85000001,3496849
MO,44643614.482677914,1911,200,37233,218395.85000001,3534082
MO,44643614.482677914,1912,160,39001,218555.85000001,3573083
MO,44643614.482677914,1913,0,27154,218555.85000001,3600237
MO,44643614.482677914,1914,266.666666,19148,218822.51666601,3619385
MO,44643614.482677914,1915,0,8614,218822.51666601,3627999
MO,44643614.482677914,1916,0,6764,218822.51666601,3634763
MO,44643614.482677914,1917,320,4371,219142.51666601,3639134
MO,44643614.482677914,1918,0,2070,219142.51666601,3641204
MO,44643614.482677914,1919,0,1381,219142.51666601,3642585
MO,44643614.482677914,1920,0,678,219142.51666601,3643263
MO,44643614.482677914,1921,160.74,723,219303.25666600998,3643986
MO,44643614.482677914,1922,128.79,240,219432.04666601,3644226
MO,44643614.482677914,1923,0,0,219432.04666601,3644226
MO,44643614.482677914,1924,0,0,219432.04666601,3644226
MO,44643614.482677914,1925,0,0,219432.04666601,3644226
MO,44643614.482677914,1926,0,0,219432.04666601,3644226
MO,44643614.482677914,1927,0,0,219432.04666601,3644226
MO,44643614.482677914,1928,0,0,219432.04666601,3644226
MO,44643614.482677914,1929,0,0,219432.04666601,3644226
MO,44643614.482677914,1930,0,0,219432.04666601,3644226
MS,30895962.70696376,1862,0,0,0,0
MS,30895962.70696376,1863,0,0,0,0
MS,30895962.70696376,1864,0,0,0,0
MS,30895962.70696376,1865,0,0,0,0
MS,30895962.70696376,1866,0,0,0,0
MS,30895962.70696376,1867,0,0,0,0
MS,30895962.70696376,1868,0,0,0,0
MS,30895962.70696376,1869,0,0,0,0
MS,30895962.70696376,1870,0,0,0,0
MS,30895962.70696376,1871,80,0,80,0
MS,30895962.70696376,1872,0,539,80,539
MS,30895962.70696376,1873,0,8591,80,9130
MS,30895962.70696376,1874,0,12123,80,21253
MS,30895962.70696376,1875,0,13707,80,34960
MS,30895962.70696376,1876,0,20002,80,54962
MS,30895962.70696376,1877,0,20447,80,75409
MS,30895962.70696376,1878,0,40193,80,115602
MS,30895962.70696376,1879,0,35709,80,151311
MS,30895962.70696376,1880,0,10769,80,162080
MS,30895962.70696376,1881,0,22703,80,184783
MS,30895962.70696376,1882,0,18628,80,203411
MS,30895962.70696376,1883,0,32604,80,236015
MS,30895962.70696376,1884,160.15,34444,240.15,270459
MS,30895962.70696376,1885,0,39203,240.15,309662
MS,30895962.70696376,1886,0,52399,240.15,362061
MS,30895962.70696376,1887,0,70560,240.15,432621
MS,30895962.70696376,1888,0,77098,240.15,509719
MS,30895962.70696376,1889,0,114355,240.15,624074
MS,30895962.70696376,1890,0,35141,240.15,659215
MS,30895962.70696376,1891,0,145436,240.15,804651
MS,30895962.70696376,1892,0,85199,240.15,889850
MS,30895962.70696376,1893,0,71259,240.15,961109
MS,30895962.70696376,1894,0,89871,240.15,1050980
MS,30895962.70696376,1895,0,93656,240.15,1144636
MS,30895962.70696376,1896,0,121685,240.15,1266321
MS,30895962.70696376,1897,0,202058,240.15,1468379
MS,30895962.70696376,1898,0,126712,240.15,1595091
MS,30895962.70696376,1899,334.55999999999995,116707,574.7099999999999,1711798
MS,30895962.70696376,1900,0,75276,574.7099999999999,1787074
MS,30895962.70696376,1901,0,158142,574.7099999999999,1945216
MS,30895962.70696376,1902,0,91639,574.7099999999999,2036855
MS,30895962.70696376,1903,0,47964,574.7099999999999,2084819
MS,30895962.70696376,1904,0,78238,574.7099999999999,2163057
MS,30895962.70696376,1905,157.18,65046,731.8899999999999,2228103
MS,30895962.70696376,1906,712.374,62821,1444.264,2290924
MS,30895962.70696376,1907,285.93600000000004,53250,1730.1999999999998,2344174
MS,30895962.70696376,1908,0,37275,1730.1999999999998,2381449
MS,30895962.70696376,1909,0,30953,1730.1999999999998,2412402
MS,30895962.70696376,1910,0,32743,1730.1999999999998,2445145
MS,30895962.70696376,1911,0,25742,1730.1999999999998,2470887
MS,30895962.70696376,1912,0,26841,1730.1999999999998,2497728
MS,30895962.70696376,1913,0,29236,1730.1999999999998,2526964
MS,30895962.70696376,1914,0,18124,1730.1999999999998,2545088
MS,30895962.70696376,1915,0,11748,1730.1999999999998,2556836
MS,30895962.70696376,1916,0,17435,1730.1999999999998,2574271
MS,30895962.70696376,1917,0,16076,1730.1999999999998,2590347
MS,30895962.70696376,1918,0,14089,1730.1999999999998,2604436
MS,30895962.70696376,1919,0,9218,1730.1999999999998,2613654
MS,30895962.70696376,1920,0,7623,1730.1999999999998,2621277
MS,30895962.70696376,1921,0,3461,1730.1999999999998,2624738
MS,30895962.70696376,1922,0,3617,1730.1999999999998,2628355
MS,30895962.70696376,1923,0,3272,1730.1999999999998,2631627
MS,30895962.70696376,1924,0,2108,1730.1999999999998,2633735
MS,30895962.70696376,1925,0,1464,1730.1999999999998,2635199
MS,30895962.70696376,1926,0,0,1730.1999999999998,2635199
MS,30895962.70696376,1927,0,0,1730.1999999999998,2635199
MS,30895962.70696376,1928,0,0,1730.1999999999998,2635199
MS,30895962.70696376,1929,0,0,1730.1999999999998,2635199
MS,30895962.70696376,1930,0,0,1730.1999999999998,2635199
MT,96047859.24626052,1862,0,0,0,0
MT,96047859.24626052,1863,0,0,0,0
MT,96047859.24626052,1864,0,0,0,0
MT,96047859.24626052,1865,0,0,0,0
MT,96047859.24626052,1866,0,0,0,0
MT,96047859.24626052,1867,0,0,0,0
MT,96047859.24626052,1868,0,0,0,0
MT,96047859.24626052,1869,0,0,0,0
MT,96047859.24626052,1870,0,0,0,0
MT,96047859.24626052,1871,5793.63,0,5793.63,0
MT,96047859.24626052,1872,28532.60999999,0,34326.23999999,0
MT,96047859.24626052,1873,16061.305000010001,154,50387.545,154
MT,96047859.24626052,1874,10727.560000000003,480,61115.105,634
MT,96047859.24626052,1875,4525.539999999999,8482,65640.645,9116
MT,96047859.24626052,1876,17269.578333329995,21806,82910.22333333,30922
MT,96047859.24626052,1877,8785.066666659997,23324,91695.28999999,54246
MT,96047859.24626052,1878,1839.5500000000002,19345,93534.83999999,73591
MT,96047859.24626052,1879,2159.85,10515,95694.68999999,84106
MT,96047859.24626052,1880,1040,4441,96734.68999999,88547
MT,96047859.24626052,1881,800,5646,97534.68999999,94193
MT,96047859.24626052,1882,160,8510,97694.68999999,102703
